lat,lon
36.35,-121.8977737
36.35,-121.899662
36.35,-121.900692
36.35,-121.9014645
36.36,-121.9027519
36.36,-121.9003487
36.36,-121.8999195
36.36,-121.9006062
36.36,-121.8994904
36.37,-121.9013786
36.37,-121.9019794
36.37,-121.9027519
36.37,-121.9049835
36.38,-121.9049835
36.38,-121.9042969
36.38,-121.9037819
36.38,-121.901207
36.38,-121.900177
36.40,-121.9035244
36.40,-121.9048977
36.40,-121.9093609
36.41,-121.9138241
36.41,-121.9145966
36.41,-121.9139957
36.42,-121.9142532
36.42,-121.9125366
36.43,-121.9132233
36.43,-121.9173431
36.44,-121.9196606
36.45,-121.9267845
36.45,-121.9258404
36.45,-121.9240379
36.46,-121.9238663
36.46,-121.9242954
36.47,-121.9300461
36.47,-121.9329643
36.47,-121.9354534
36.48,-121.9362259
36.48,-121.9374275
36.49,-121.9378567
36.49,-121.9378567
36.49,-121.9381142
36.49,-121.9377708
36.50,-121.9356251
36.50,-121.9362259
36.50,-121.9383717
36.50,-121.9377708
36.51,-121.9369984
36.51,-121.9359684
36.51,-121.9377708
36.51,-121.9375992
36.52,-121.9363117
36.52,-121.9325352
36.53,-121.9237804
36.54,-121.9121075
36.54,-121.9078159
36.55,-121.9089317
36.56,-121.9116783
36.56,-121.911335
36.57,-121.9127083
36.57,-121.9127083
36.58,-121.9025803
36.58,-121.8855858
36.59,-121.8806076
36.60,-121.868248
36.60,-121.8613815
36.61,-121.8598366
36.62,-121.8452454
36.62,-121.8406105
36.64,-121.8316841
36.65,-121.8160629
36.66,-121.8158913
36.66,-121.8157196
36.68,-121.8083382
36.68,-121.8071365
36.69,-121.8086815
36.70,-121.8054199
36.71,-121.7958069
36.73,-121.7887688
36.75,-121.7662811
36.82,-121.7834473
36.85,-121.7655945
36.92,-121.791687
36.94,-121.8370056
36.98,-121.8727112
36.99,-121.9496155
36.99,-122.0155334
36.98,-122.0285797
36.97,-122.0388794
36.96,-122.0663452
36.97,-122.1137238
36.98,-122.1411896
37.00,-122.1707153
37.00,-122.1707153
37.01,-122.1875381
37.01,-122.2005844
37.03,-122.2191238
37.08,-122.2647858
37.10,-122.2757721
37.12,-122.3052979
37.14,-122.3258972
37.16,-122.3519897
37.19,-122.3753357
37.19,-122.4000549
37.25,-122.4165344
37.32,-122.4014282
37.36,-122.3931885
37.40,-122.4110413
37.44,-122.428894
37.47,-122.4343872
37.51,-122.3451233
37.51,-122.3286438
37.54,-122.3272705
37.56,-122.2901917
37.59,-122.3313904
37.59,-122.3588562
37.61,-122.3931885
37.63,-122.4028015
